filename,Q1,Q3,RT
PE 33:1 d7 (ISTD),712.2,571.1,4.683333333
PE 34:3 [141],714.5,573.5,4.366666667
PE 34:2 [141],716.5,575.5,4.6
PE 34:1 [141],718.5,577.5,4.866666667
PE 36:5 [141],738.5,597.5,4.333333333
PE 36:4 [141],740.5,599.5,4.583333333
PE 36:3 [141],742.5,601.5,4.65
PE 36:2 [141],744.6,603.5,4.966666667
PE 36:1 [141],746.6,605.6,5.2
PE 38:6 [141],764.5,623.5,4.5
PE 38:5 [141],766.5,625.5,4.616666667
PE 38:4 [141],768.6,627.5,4.916666667
PE 40:7 [141],790.5,649.5,4.533333333
PE 40:6 [141],792.6,651.5,4.866666667
PE 40:5 [141],794.6,653.6,5.066666667
PE 40:4 [141],796.6,655.6,5.15
PE O-34:2 [141],702.5,561.5,4.866666667
PE O-34:1 [141],704.6,563.5,5.1
PE O-36:6 [141],722.5,581.5,4.533333333
PE O-36:5 [141],724.5,583.5,4.6
PE O-36:4 [141],726.5,585.5,4.816666667
PE O-36:3 [141],728.6,587.5,4.9
PE O-36:2 [141],730.5,589.5,5.183333333
PE O-38:5 [141],752.6,611.5,4.85
PE O-38:4 [141],754.6,613.6,5.166666667
PE O-40:7 [141],776.6,635.5,4.783333333
PE O-40:6 [141],778.5,637.5,5.1
PE O-40:5 [141],780.6,639.6,#VALUE!
PE P-16:0/18:2 [-FA],700.5,337.3,4.8
PE P-16:0/18:2 [-FA-HG],700.5,364.3,4.8
PE P-16:0/18:1 [-FA],702.5,339.3,5.066666667
PE P-16:0/18:1 [-FA-HG],702.5,364.3,5.066666667
PE P-34:1 [141],702.5,561.5,5.066666667
PE P-16:0/20:4 [-FA],724.5,361.3,4.766666667
PE P-16:0/20:4 [-FA-HG],724.5,364.3,4.766666667
PE P-36:4 [141],724.5,583.5,4.766666667
PE P-18:0/18:2 [-FA],728.6,337.3,5.166666667
PE P-18:0/18:2 [-FA-HG],728.6,392.3,5.166666667
PE P-36:2 [141],728.6,587.5,5.166666667
PE P-18:0/18:1 [-FA],730.5,339.3,5.383333333
PE P-18:0/18:1 [-FA-HG],730.5,392.3,5.383333333
PE P-36:1 [141],730.5,589.5,5.383333333
PE P-16:0/22:6 [-FA-HG],748.5,364.3,4.683333333
PE P-16:0/22:6 [-FA],748.5,385.3,4.683333333
PE P-16:0/22:5 [-FA-HG],750.5,364.3,#VALUE!
PE P-16:0/22:5 [-FA],750.5,387.3,#VALUE!
PE P-18:0/20:4 [-FA],752.6,361.3,5.116666667
PE P-18:0/20:4 [-FA-HG],752.6,392.3,5.116666667
PE P-38:4 [141],752.6,611.5,5.116666667
PE P-18:0/22:6 [-FA],776.6,385.3,5.05
PE P-18:0/22:6 [-FA-HG],776.6,392.3,5.05
PE P-40:6 [141],776.6,635.5,5.05
PE P-18:0/22:5 [-FA],778.5,387.3,5.233333333
PE P-18:0/22:5 [-FA-HG],778.5,392.3,#VALUE!
PE P-40:5 [141],778.5,637.5,5.1
PE P-20:0/20:4 [-FA],780.6,361.3,5.433333333
PE P-20:0/20:4 [-FA-HG],780.6,420.3,5.433333333
PE P-40:4 [141],780.6,639.6,5.433333333
PG 33:1 d7 (ISTD),759.1,570.1,4.2
PG 34:1,766.6,577.5,4.383333333
PG 36:2,792.6,603.5,4.433333333
PG 36:1,794.6,605.6,4.716666667
PI 32:1,826.5,549.5,3.916666667
PI 32:0,828.6,551.6,4.216666667
PI 33:1 d7 (ISTD),847.2,570.1,4.083333333
PI 34:2,852.6,575.6,4.016666667
PI 34:1,854.6,577.6,4.283333333
PI 34:0,856.6,579.6,4.566666667
PI 36:4,876.6,599.6,4
PI 36:3,878.6,601.6,4.133333333
PI 36:2,880.6,603.6,4.383333333
PI 36:1,882.6,605.6,4.633333333
PI 38:6,900.6,623.6,3.916666667
PI 38:5,902.6,625.6,4.05
PI 38:4,904.6,627.6,4.35
PI 38:3,906.6,629.6,4.5
PI 38:2,908.6,631.6,4.683333333
PI 40:6,928.6,651.6,4.283333333
PI 40:5,930.6,653.6,4.5
PI 40:4,932.6,655.6,4.633333333
PS 33:1 d7 (ISTD),755.1,570.1,4.133333333
PS 34:2,760.6,575.6,4.1
PS 34:1,762.6,577.6,4.383333333
PS 36:2,788.5,603.5,4.433333333
PS 36:1,790.6,605.6,4.683333333
PS 38:5,810.5,625.5,4.183333333
PS 38:4,812.5,627.5,4.416666667
PS 38:3,814.6,629.6,4.533333333
PS 40:6,836.5,651.5,4.333333333
PS 40:5,838.6,653.6,4.583333333
SM 30:1 (ISTD),647.5,184.1,3.516666667
SM 31:1,661.5,184.1,3.7
SM 32:2,673.5,184.1,3.583333333
SM 32:1,675.5,184.1,3.916666667
SM 32:0,677.6,184.1,4.066666667
SM 33:1,689.6,184.1,4.1
SM 34:3,699.5,184.1,3.733333333
SM 34:2,701.6,184.1,4
SM 34:1,703.6,184.1,4.316666667
SM 34:0,705.6,184.1,4.433333333
SM 35:2,715.6,184.1,4.183333333
SM 35:1,717.6,184.1,4.516666667
SM 36:3,727.6,184.1,4.083333333
SM 36:2,729.6,184.1,4.383333333
SM 36:1,731.6,184.1,4.7
SM 36:2 d9 (ISTD),739.2,184.1,4.383333333
SM 38:3,755.6,184.1,4.533333333
SM 38:2,757.6,184.1,4.216666667
SM 38:1,759.6,184.1,5.05
SM 39:1,773.7,184.1,5.216666667
SM 40:3,783.7,184.1,4.433333333
SM 40:2,785.7,184.1,4.566666667
SM 40:1,787.7,184.1,4.833333333
SM 41:1,801.7,184.1,5.516666667
SM 42:3,811.7,184.1,5.116666667
SM 42:2,813.7,184.1,5.383333333
SM 42:1,815.7,184.1,5.666666667
SM 43:1,829.7,184.1,5.8
SM 44:1,843.7,184.1,5.933333333
SM 44:2,843.7,184.1,5.65
TG 48:3 [SIM],818.7,818.7,6.7
TG 48:3 [-18:2],818.8,521.5,6.7
TG 48:3 [-16:1],818.8,547.5,6.7
TG 48:2 [SIM],820.7,820.7,6.833333333
TG 48:2 [-18:1],820.8,521.5,6.833333333
TG 48:2 [-16:0],820.8,547.5,6.833333333
TG 48:2 [-16:1],820.8,549.5,6.833333333
TG 48:2 [-14:1],820.8,577.6,6.833333333
TG 48:1 [-18:1],822.8,523.5,6.966666667
TG 48:1 [SIM],822.8,822.8,6.966666667
TG 48:0 [-16:0],824.8,551.5,7.1
TG 48:0 [SIM],824.8,824.8,7.1
TG 48:1 d7 (ISTD) [-15:0],829.4,570.3,6.966666667
TG 48:1 d7 (ISTD) [SIM],829.4,829.4,6.966666667
TG 48:0 d5 (ISTD) [-16:0],829.8,556.5,7.1
TG 48:0 d5 (ISTD) [SIM],829.8,829.8,6.966666667
