LIPID,LIPID_NAME_CLEAN,QUANTIFIER,Q1,Q3,RT
PE 34:3,PE 34:3,TRUE,714.5,573.5,4.366666667
PE 36:1,PE 36:1,TRUE,746.6,605.6,5.2
PE 36:2,PE 36:2,TRUE,744.6,603.5,4.966666667
PE 36:3,PE 36:3,TRUE,742.5,601.5,4.65
PE 36:4,PE 36:4,TRUE,740.5,599.5,4.583333333
PE 36:5,PE 36:5,TRUE,738.5,597.5,4.333333333
PE 38:4,PE 38:4,TRUE,768.6,627.5,4.916666667
PE 38:5,PE 38:5,TRUE,766.5,625.5,4.616666667
PE 38:6,PE 38:6,TRUE,764.5,623.5,4.5
PE 40:4,PE 40:4,TRUE,796.6,655.6,5.15
PE 40:5,PE 40:5,TRUE,794.6,653.6,5.066666667
PE 40:6,PE 40:6,TRUE,792.6,651.5,4.866666667
PE 40:7,PE 40:7,TRUE,790.5,649.5,4.533333333
PE O-34:1,PE O-34:1,TRUE,704.6,563.5,5.1
PE O-34:2,PE O-34:2,TRUE,702.5,561.5,4.866666667
PE O-36:2,PE O-36:2,TRUE,730.5,589.5,5.183333333
PE O-36:3,PE O-36:3,TRUE,728.6,587.5,4.9
PE O-36:4,PE O-36:4,TRUE,726.5,585.5,4.816666667
PE O-36:5,PE O-36:5,TRUE,724.5,583.5,4.6
PE O-36:6,PE O-36:6,TRUE,722.5,581.5,4.533333333
PE O-38:4,PE O-38:4,TRUE,754.6,613.6,5.166666667
PE O-38:5,PE O-38:5,TRUE,752.6,611.5,4.85
PE O-40:5,PE O-40:5,TRUE,780.6,639.6,5.241666667
PE O-40:6,PE O-40:6,TRUE,778.5,637.5,5.1
PE O-40:7,PE O-40:7,TRUE,776.6,635.5,4.783333333
PE P-16:0/18:1,PE P-16:0/18:1,TRUE,702.5,364.3,5.066666667
PE P-16:0/18:2,PE P-16:0/18:2,TRUE,700.5,364.3,4.8
PE P-16:0/20:4,PE P-16:0/20:4,TRUE,724.5,364.3,4.766666667
